Date,Comid,Low,High,Average,Waverage,Close,Tradeno,Volume,Turnover,Issue,Name
01/01/2005,88014,95500,95500,95500,,95500,4,100,9550000,,10 YEARS 8.5% BGT BOND ISSUED 061204
01/01/2005,18455,93.4,96,94.59,,93.8,74,11000,1040960,,ADVANCED CHEMICAL INDUSTRIES LIMITED
02/01/2005,18455,92,94,92.57,,92,111,17450,1615395,,ADVANCED CHEMICAL INDUSTRIES LIMITED
03/01/2005,18455,89.5,92.5,90.48,,89.9,146,21180,1918020,,ADVANCED CHEMICAL INDUSTRIES LIMITED
04/01/2005,18455,90,93.7,91.58,,90.2,71,15350,1406490,,ADVANCED CHEMICAL INDUSTRIES LIMITED
05/01/2005,18455,88.5,91.5,89.14,,88.5,90,12900,1149880,,ADVANCED CHEMICAL INDUSTRIES LIMITED
06/01/2005,18455,88,90.9,89.98,,90.2,97,14120,1270805,,ADVANCED CHEMICAL INDUSTRIES LIMITED
09/01/2005,18455,91.1,95,93.41,,91.6,112,14950,1393950,,ADVANCED CHEMICAL INDUSTRIES LIMITED
10/01/2005,18455,88,90.9,89.13,,88.2,98,15850,1410945,,ADVANCED CHEMICAL INDUSTRIES LIMITED
11/01/2005,18455,79.9,90,83.12,,80.7,265,48700,4048120,,ADVANCED CHEMICAL INDUSTRIES LIMITED
12/01/2005,18455,83.5,87,85.48,,86.4,164,19400,1658230,,ADVANCED CHEMICAL INDUSTRIES LIMITED
13/01/2005,18455,84,87.5,84.74,,84.2,90,14250,1206460,,ADVANCED CHEMICAL INDUSTRIES LIMITED
15/01/2005,18455,76,86.9,82.7,,82.1,103,12420,1028755,,ADVANCED CHEMICAL INDUSTRIES LIMITED
16/01/2005,18455,81.1,84.5,82.58,,83,105,10600,875030,,ADVANCED CHEMICAL INDUSTRIES LIMITED
17/01/2005,18455,83,85,83.78,,83.9,127,18700,1564020,,ADVANCED CHEMICAL INDUSTRIES LIMITED
18/01/2005,18455,84,85.5,84.75,,84.9,78,8600,728975,,ADVANCED CHEMICAL INDUSTRIES LIMITED
19/01/2005,18455,85,86.3,85.82,,85.9,85,11450,982520,,ADVANCED CHEMICAL INDUSTRIES LIMITED
24/01/2005,18455,86.3,88.5,87.27,,87.3,145,21400,1867860,,ADVANCED CHEMICAL INDUSTRIES LIMITED
25/01/2005,18455,85,88.8,86.43,,86.3,79,12450,1074490,,ADVANCED CHEMICAL INDUSTRIES LIMITED
26/01/2005,18455,87,88.8,88,,87.9,92,14850,1306385,,ADVANCED CHEMICAL INDUSTRIES LIMITED
