Tradedate,Date,Comid,Low,High,Average,Waverage,Close,Tradeno,Volume,Turnover,Issue,Company
01/01/2006,01/01/2006,18455,68.8,70,69.08,,69,12,1900,131125,,ADVANCED CHEMICAL INDUSTRIES LIMITED
02/01/2006,02/01/2006,18455,68.6,69,68.91,,68.9,15,1150,79245,,ADVANCED CHEMICAL INDUSTRIES LIMITED
03/01/2006,03/01/2006,18455,68.1,68.9,68.44,,68.3,14,2450,167345,,ADVANCED CHEMICAL INDUSTRIES LIMITED
04/01/2006,04/01/2006,18455,67.6,68.4,67.92,,67.7,38,7700,522870,,ADVANCED CHEMICAL INDUSTRIES LIMITED
05/01/2006,05/01/2006,18455,67.5,68.5,68.2,,68.2,22,3850,262660,,ADVANCED CHEMICAL INDUSTRIES LIMITED
08/01/2006,08/01/2006,18455,68,68.7,68.38,,68.4,29,4900,334830,,ADVANCED CHEMICAL INDUSTRIES LIMITED
09/01/2006,09/01/2006,18455,68.5,69.9,69.11,,69.1,19,2000,138220,,ADVANCED CHEMICAL INDUSTRIES LIMITED
15/01/2006,15/01/2006,18455,68.1,68.5,68.27,,68.3,56,8950,611095,,ADVANCED CHEMICAL INDUSTRIES LIMITED
16/01/2006,16/01/2006,18455,68.3,69.7,68.77,,68.8,36,4850,333125,,ADVANCED CHEMICAL INDUSTRIES LIMITED
17/01/2006,17/01/2006,18455,68.5,69.7,68.91,,68.9,20,3600,248385,,ADVANCED CHEMICAL INDUSTRIES LIMITED
18/01/2006,18/01/2006,18455,68.4,69,68.7,,68.8,30,6850,470675,,ADVANCED CHEMICAL INDUSTRIES LIMITED
19/01/2006,19/01/2006,18455,68.2,68.9,68.55,,68.5,18,2500,171490,,ADVANCED CHEMICAL INDUSTRIES LIMITED
23/01/2006,23/01/2006,18455,68,68.5,68.2,,68.1,23,2800,190910,,ADVANCED CHEMICAL INDUSTRIES LIMITED
24/01/2006,24/01/2006,18455,68,68.3,68.14,,68.1,36,5100,347615,,ADVANCED CHEMICAL INDUSTRIES LIMITED
25/01/2006,25/01/2006,18455,67.8,70,68.14,,67.9,14,1880,127835,,ADVANCED CHEMICAL INDUSTRIES LIMITED
26/01/2006,26/01/2006,18455,67.9,68.2,68.03,,68,33,5050,343525,,ADVANCED CHEMICAL INDUSTRIES LIMITED
29/01/2006,29/01/2006,18455,67.8,68.4,68.09,,68.1,11,1200,81750,,ADVANCED CHEMICAL INDUSTRIES LIMITED
30/01/2006,30/01/2006,18455,67.8,68.4,67.97,,67.9,13,1550,105270,,ADVANCED CHEMICAL INDUSTRIES LIMITED
31/01/2006,31/01/2006,18455,65.5,68,67.64,,67.6,31,2695,182397.5,,ADVANCED CHEMICAL INDUSTRIES LIMITED
01/02/2006,01/02/2006,18455,64,68.8,68.29,,68.4,57,9650,660150,,ADVANCED CHEMICAL INDUSTRIES LIMITED
02/02/2006,02/02/2006,18455,68,68.4,68.3,,68.2,29,4050,276670,,ADVANCED CHEMICAL INDUSTRIES LIMITED
05/02/2006,05/02/2006,18455,67,67.7,67.19,,67.2,35,5100,342685,,ADVANCED CHEMICAL INDUSTRIES LIMITED
06/02/2006,06/02/2006,18455,67,68.1,67.96,,67.9,19,1940,131870,,ADVANCED CHEMICAL INDUSTRIES LIMITED
07/02/2006,07/02/2006,18455,67.5,68,67.84,,67.7,16,1900,128655,,ADVANCED CHEMICAL INDUSTRIES LIMITED
08/02/2006,08/02/2006,18455,63.4,68,67.4,,67.4,26,4190,282696,,ADVANCED CHEMICAL INDUSTRIES LIMITED
09/02/2006,09/02/2006,18455,63,67.8,67.02,,67,42,5220,350260,,ADVANCED CHEMICAL INDUSTRIES LIMITED
12/02/2006,12/02/2006,18455,63.6,67.2,66.16,,65.9,50,5080,336377,,ADVANCED CHEMICAL INDUSTRIES LIMITED
13/02/2006,13/02/2006,18455,65,67.5,65.57,,65.2,88,13050,855935,,ADVANCED CHEMICAL INDUSTRIES LIMITED
14/02/2006,14/02/2006,18455,66,67,66.55,,66.7,52,7100,472710,,ADVANCED CHEMICAL INDUSTRIES LIMITED
16/02/2006,16/02/2006,18455,66.7,67.4,67.11,,67.1,36,4450,298770,,ADVANCED CHEMICAL INDUSTRIES LIMITED
19/02/2006,19/02/2006,18455,66.8,67.7,67.24,,67,40,6300,423740,,ADVANCED CHEMICAL INDUSTRIES LIMITED
20/02/2006,20/02/2006,18455,66.5,67.2,66.84,,66.6,43,7620,509726,,ADVANCED CHEMICAL INDUSTRIES LIMITED
22/02/2006,22/02/2006,18455,66.6,66.7,66.63,,66.6,19,3450,229810,,ADVANCED CHEMICAL INDUSTRIES LIMITED
23/02/2006,23/02/2006,18455,66,66.9,66.59,,66.6,36,5800,386350,,ADVANCED CHEMICAL INDUSTRIES LIMITED
26/02/2006,26/02/2006,18455,65.8,66.6,66.25,,66,55,8700,576675,,ADVANCED CHEMICAL INDUSTRIES LIMITED
27/02/2006,27/02/2006,18455,65.3,66,65.72,,65.9,37,4900,321820,,ADVANCED CHEMICAL INDUSTRIES LIMITED
28/02/2006,28/02/2006,18455,65.7,67,66.27,,66.6,37,5650,374945,,ADVANCED CHEMICAL INDUSTRIES LIMITED
01/03/2006,01/03/2006,18455,66.5,67.3,66.92,,66.7,45,9350,625385,,ADVANCED CHEMICAL INDUSTRIES LIMITED
02/03/2006,02/03/2006,18455,66.5,67,66.9,,66.9,13,1800,120460,,ADVANCED CHEMICAL INDUSTRIES LIMITED
05/03/2006,05/03/2006,18455,66,67,66.53,,66.7,37,8950,594900,,ADVANCED CHEMICAL INDUSTRIES LIMITED
06/03/2006,06/03/2006,18455,67,67.3,67.15,,67.1,31,5600,376115,,ADVANCED CHEMICAL INDUSTRIES LIMITED
07/03/2006,07/03/2006,18455,67.2,68.1,67.79,,68,59,10200,691360,,ADVANCED CHEMICAL INDUSTRIES LIMITED
08/03/2006,08/03/2006,18455,68.5,70,69.52,,69.3,120,17600,1224165,,ADVANCED CHEMICAL INDUSTRIES LIMITED
09/03/2006,09/03/2006,18455,69.7,70.4,70.04,,69.9,80,10600,742195,,ADVANCED CHEMICAL INDUSTRIES LIMITED
12/03/2006,12/03/2006,18455,70.5,71.6,71.15,,71.1,77,11950,849865,,ADVANCED CHEMICAL INDUSTRIES LIMITED
14/03/2006,14/03/2006,18455,71,72,71.56,,71.3,101,19250,1378310,,ADVANCED CHEMICAL INDUSTRIES LIMITED
15/03/2006,15/03/2006,18455,70.3,71.9,71.09,,70.4,101,17900,1273415,,ADVANCED CHEMICAL INDUSTRIES LIMITED
16/03/2006,16/03/2006,18455,70.1,72.1,71.47,,71.8,121,20550,1466625,,ADVANCED CHEMICAL INDUSTRIES LIMITED
19/03/2006,19/03/2006,18455,71.4,72.5,72.18,,71.7,97,13750,991435,,ADVANCED CHEMICAL INDUSTRIES LIMITED
20/03/2006,20/03/2006,18455,68,72.2,71.13,,70.7,104,16510,1175030,,ADVANCED CHEMICAL INDUSTRIES LIMITED
21/03/2006,21/03/2006,18455,68,71.4,70.18,,70,59,6910,485225,,ADVANCED CHEMICAL INDUSTRIES LIMITED
22/03/2006,22/03/2006,18455,69.6,70.8,70.07,,69.7,52,6750,473045,,ADVANCED CHEMICAL INDUSTRIES LIMITED
23/03/2006,23/03/2006,18455,69.5,70,69.66,,69.6,28,3320,231160,,ADVANCED CHEMICAL INDUSTRIES LIMITED
27/03/2006,27/03/2006,18455,69.4,70,69.58,,69.2,26,3090,214950,,ADVANCED CHEMICAL INDUSTRIES LIMITED
28/03/2006,28/03/2006,18455,65,70.2,69.15,,69,55,6460,446945,,ADVANCED CHEMICAL INDUSTRIES LIMITED
29/03/2006,29/03/2006,18455,68.8,69.5,68.99,,68.9,18,4050,279300,,ADVANCED CHEMICAL INDUSTRIES LIMITED
30/03/2006,30/03/2006,18455,65,69.8,69.19,,69.4,20,2470,171400,,ADVANCED CHEMICAL INDUSTRIES LIMITED
02/04/2006,02/04/2006,18455,69.1,70.3,69.87,,69.5,39,5800,405045,,ADVANCED CHEMICAL INDUSTRIES LIMITED
03/04/2006,03/04/2006,18455,64,69.6,68.87,,68.9,31,5118,353442,,ADVANCED CHEMICAL INDUSTRIES LIMITED
04/04/2006,04/04/2006,18455,67.8,68.6,68.09,,66.7,73,9550,650115,,ADVANCED CHEMICAL INDUSTRIES LIMITED
05/04/2006,05/04/2006,18455,66,67.9,66.71,,67.5,75,10800,721190,,ADVANCED CHEMICAL INDUSTRIES LIMITED
06/04/2006,06/04/2006,18455,66.7,68,67.49,,67.5,37,5400,364205,,ADVANCED CHEMICAL INDUSTRIES LIMITED
09/04/2006,09/04/2006,18455,66.5,67.4,66.87,,66.8,43,8850,591885,,ADVANCED CHEMICAL INDUSTRIES LIMITED
10/04/2006,10/04/2006,18455,65,68,67.19,,67.4,81,15970,1073070,,ADVANCED CHEMICAL INDUSTRIES LIMITED
12/04/2006,12/04/2006,18455,67.4,67.9,67.74,,67.6,27,5000,338510,,ADVANCED CHEMICAL INDUSTRIES LIMITED
13/04/2006,13/04/2006,18455,64.5,67.5,66.7,,66.7,41,7530,503515,,ADVANCED CHEMICAL INDUSTRIES LIMITED
16/04/2006,16/04/2006,18455,65,66,65.49,,65.2,58,7350,481365,,ADVANCED CHEMICAL INDUSTRIES LIMITED
17/04/2006,17/04/2006,18455,65,69,66.38,,67,53,11538,766342,,ADVANCED CHEMICAL INDUSTRIES LIMITED
18/04/2006,18/04/2006,18455,67,67.6,67.38,,67.3,34,8050,542420,,ADVANCED CHEMICAL INDUSTRIES LIMITED
19/04/2006,19/04/2006,18455,66.5,67.4,66.9,,66.9,18,3000,200915,,ADVANCED CHEMICAL INDUSTRIES LIMITED
24/04/2006,24/04/2006,18455,66,67,66.25,,66.1,50,6950,460520,,ADVANCED CHEMICAL INDUSTRIES LIMITED
25/04/2006,25/04/2006,18455,66.3,68.5,67.06,,66.9,30,3280,219705,,ADVANCED CHEMICAL INDUSTRIES LIMITED
